"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"56003962600",430,826,744,421,398
"56003962700",1049,1003,625,501,375
"56003962800",1582,1467,936,651,542
"56023978100",2340,1756,1112,899,1200
"56023978200",564,550,443,115,427
"56023978400",1083,959,579,458,733
"56029965100",1240,1906,945,515,952
"56029965200",1470,1797,1256,663,695
"56029965500",1306,963,840,500,726
"56033000100",1447,1373,1563,980,777
"56033000200",823,652,872,431,535
"56033000300",838,1185,805,526,536
"56033000400",1138,1479,1182,842,762
"56033000600",1458,1280,1424,615,879
"56039967701",398,406,406,705,549
