"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"56003962600",199,293,323,452,226,232,216,233,426,242
"56003962700",458,289,359,493,207,531,327,270,442,247
"56003962800",804,470,437,605,402,678,490,407,659,411
"56023978100",1097,613,775,556,387,1029,755,628,766,361
"56023978200",257,109,114,347,195,246,94,239,376,48
"56023978400",428,329,386,466,296,513,338,314,450,215
"56029965100",516,520,470,882,420,704,523,483,705,364
"56029965200",825,612,584,575,327,596,821,395,683,589
"56029965500",587,343,425,507,314,610,208,399,568,412
"56033000100",521,665,498,719,303,770,910,634,466,644
"56033000200",364,434,193,433,175,343,442,280,481,174
"56033000300",419,296,462,468,289,332,481,238,485,365
"56033000400",742,587,571,765,347,365,485,535,671,315
"56033000600",521,375,503,951,447,772,255,555,907,415
"56039967701",293,422,370,290,124,145,293,174,259,148
