"geoid","MC","NS","SM","NF","GQ"
"56003962600",595,144,414,38,184
"56003962700",750,129,403,54,3
"56003962800",1006,224,553,150,75
"56023978100",1604,298,695,42,32
"56023978200",606,71,137,17,2
"56023978400",772,99,652,120,48
"56029965100",1342,328,382,43,345
"56029965200",1064,384,1030,217,358
"56029965500",884,271,643,57,121
"56033000100",1134,258,881,144,576
"56033000200",668,136,742,89,8
"56033000300",798,177,935,42,5
"56033000400",979,363,918,197,59
"56033000600",1390,175,717,41,227
"56039967701",533,49,201,273,44
