"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"560039626001",860,15,329,99
"560039626002",757,0,515,267
"560039627001",429,5,308,174
"560039627002",296,4,402,148
"560039627003",793,16,526,522
"560039628001",634,45,437,352
"560039628002",566,19,480,347
"560039628003",520,58,624,227
"560039628004",417,19,243,375
"560239781001",604,0,551,530
"560239781002",812,0,221,379
"560239781003",1142,65,342,505
"560239781004",915,53,346,502
"560239782001",421,14,447,297
"560239782002",492,42,146,166
"560239784001",655,9,360,421
"560239784002",156,9,337,90
"560239784003",890,7,469,332
"560299651001",1290,38,703,377
"560299651002",583,0,333,12
"560299651003",606,0,215,402
"560299651004",443,0,250,335
"560299652001",549,33,240,296
"560299652002",465,40,806,293
"560299652003",396,20,397,295
"560299652004",467,0,422,144
"560299652005",783,5,223,133
"560299655001",868,7,828,710
"560299655002",496,68,260,197
"560299655003",436,24,337,142
"560330001001",957,0,550,128
"560330001002",784,0,277,291
"560330001003",654,0,170,541
"560330001004",760,46,738,234
"560330002001",531,0,239,163
"560330002002",744,47,259,346
"560330002003",468,0,387,135
"560330003001",403,5,451,87
"560330003002",707,13,271,311
"560330003003",770,15,527,275
"560330004001",743,23,556,65
"560330004002",900,30,420,489
"560330004003",1194,100,468,395
"560330006001",725,3,524,208
"560330006002",922,10,590,451
"560330006003",898,43,817,510
"560399677011",1117,0,371,175
"560399677012",525,96,81,153
