"geoid","0","1","2","3+","GQ"
"56003962600",269,508,358,56,184
"56003962700",484,497,293,62,3
"56003962800",690,726,449,68,75
"56023978100",700,792,942,205,32
"56023978200",253,270,217,91,2
"56023978400",590,554,425,74,48
"56029965100",482,755,674,184,345
"56029965200",893,1082,619,101,358
"56029965500",610,701,490,54,121
"56033000100",729,713,870,105,576
"56033000200",393,785,432,25,8
"56033000300",791,649,437,75,5
"56033000400",708,904,735,110,59
"56033000600",768,797,678,80,227
"56039967701",203,261,361,231,44
