"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"560039626001",78,273,10,27,25,0,18,59,23,51,0,0,92
"560039626002",246,138,17,51,22,7,72,44,19,6,0,5,92
"560039627001",168,111,38,33,0,22,11,0,0,0,0,7,1
"560039627002",21,110,47,25,2,7,9,29,7,0,0,17,1
"560039627003",84,209,44,75,42,8,110,41,10,5,24,20,1
"560039628001",81,145,62,65,29,10,10,0,61,0,9,8,19
"560039628002",114,118,26,43,48,4,71,113,20,0,0,13,19
"560039628003",112,187,104,43,9,0,70,5,2,25,0,4,19
"560039628004",93,61,16,29,22,24,2,7,11,20,17,20,18
"560239781001",121,216,122,5,85,47,30,0,15,0,5,0,8
"560239781002",102,153,80,45,6,0,0,4,5,5,93,38,8
"560239781003",126,189,66,119,19,0,212,164,30,8,0,0,8
"560239781004",73,113,0,99,109,56,31,0,0,48,0,0,8
"560239782001",47,242,11,57,32,15,12,19,6,12,6,0,1
"560239782002",69,110,126,16,10,17,9,11,0,4,0,0,1
"560239784001",252,96,72,44,31,10,0,8,17,17,6,23,16
"560239784002",30,111,3,3,8,0,101,9,30,13,0,0,16
"560239784003",200,194,64,57,22,27,69,70,50,5,1,0,16
"560299651001",156,339,164,38,11,137,7,15,0,31,0,0,87
"560299651002",0,319,28,26,4,0,0,0,0,0,0,17,86
"560299651003",89,137,78,22,28,30,10,0,0,0,55,0,86
"560299651004",48,104,0,90,0,40,72,0,0,0,0,0,86
"560299652001",74,113,20,36,26,27,135,23,12,22,13,0,71
"560299652002",163,231,27,20,44,21,37,17,62,0,0,0,72
"560299652003",107,138,6,4,0,73,59,0,89,0,0,0,71
"560299652004",217,144,62,11,0,0,54,40,0,15,0,18,72
"560299652005",66,128,68,41,27,0,118,64,23,0,0,0,72
"560299655001",251,246,126,102,0,93,39,10,18,13,0,43,41
"560299655002",66,88,52,2,5,0,29,70,0,7,40,0,40
"560299655003",145,151,32,42,0,0,113,12,18,33,9,0,40
"560330001001",70,251,121,0,21,24,238,43,15,17,0,0,144
"560330001002",124,247,85,73,0,0,28,0,23,0,0,0,144
"560330001003",91,146,19,17,62,17,0,12,0,15,0,0,144
"560330001004",257,137,65,27,31,0,73,0,53,0,15,0,144
"560330002001",101,124,34,24,0,0,140,24,17,0,43,0,3
"560330002002",65,75,14,95,0,0,279,66,0,39,0,14,2
"560330002003",123,203,47,28,10,0,34,30,0,6,0,0,3
"560330003001",117,62,17,0,0,4,402,37,22,14,0,0,1
"560330003002",113,142,4,8,0,15,92,61,22,98,11,0,2
"560330003003",125,223,85,56,0,21,86,60,49,0,6,0,2
"560330004001",311,88,54,24,0,0,279,157,0,0,0,0,20
"560330004002",79,79,56,0,96,26,79,128,30,99,0,0,20
"560330004003",38,343,160,77,51,0,132,71,0,0,0,0,19
"560330006001",119,300,59,14,40,4,74,16,0,6,0,0,76
"560330006002",140,236,100,26,19,32,202,35,3,27,24,0,75
"560330006003",84,395,65,131,13,15,98,0,30,0,0,16,76
"560399677011",64,192,25,76,77,0,72,85,64,54,0,0,22
"560399677012",0,42,35,0,0,37,65,39,92,24,13,0,22
