"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"56003962600",0,102,167,3,109,396,0,15,343,0,0,56,184
"56003962700",21,253,210,9,97,391,0,9,284,0,0,62,3
"56003962800",73,247,370,18,147,561,0,38,411,0,0,68,75
"56023978100",132,241,327,0,280,512,0,6,936,0,0,205,32
"56023978200",7,17,229,0,57,213,0,4,213,0,0,91,2
"56023978400",98,168,324,14,176,364,7,7,411,0,0,74,48
"56029965100",0,97,385,0,231,524,0,0,674,0,0,184,345
"56029965200",131,453,309,38,459,585,0,78,541,0,0,101,358
"56029965500",4,328,278,20,231,450,0,66,424,0,0,54,121
"56033000100",78,452,199,12,351,350,19,13,838,0,0,105,576
"56033000200",61,229,103,35,397,353,0,17,415,0,0,25,8
"56033000300",153,321,317,31,434,184,0,36,401,2,0,73,5
"56033000400",62,398,248,0,437,467,0,15,720,12,0,98,59
"56033000600",5,294,469,0,158,639,3,30,645,0,0,80,227
"56039967701",0,167,36,0,194,67,0,0,361,21,38,172,44
