"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"56003962600",98,162,284,53,187,110,66,91,57,23,17,43,184
"56003962700",201,122,149,216,198,160,95,95,37,10,53,0,3
"56003962800",229,282,270,284,202,178,153,101,165,51,15,3,75
"56023978100",236,152,357,243,435,528,222,151,84,79,152,0,32
"56023978200",25,63,219,69,200,176,11,27,6,13,17,5,2
"56023978400",82,222,169,274,265,212,162,82,24,97,0,54,48
"56029965100",170,314,343,199,561,301,78,72,7,33,0,17,345
"56029965200",159,280,540,333,322,260,298,342,20,123,18,0,358
"56029965500",123,327,163,162,230,396,54,80,168,104,48,0,121
"56033000100",155,369,251,427,361,322,126,243,88,36,0,39,576
"56033000200",95,160,136,200,210,142,170,213,159,37,113,0,8
"56033000300",102,195,175,170,188,162,404,193,65,226,12,60,5
"56033000400",68,360,255,260,279,260,319,225,239,91,55,46,59
"56033000600",219,167,394,232,364,416,166,216,76,46,12,15,227
"56039967701",42,0,47,110,104,245,36,46,76,61,74,215,44
