"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"120310006001",739,61,568,287
"120310006002",516,69,677,287
"120310006003",162,0,316,178
"120310006004",160,0,55,45
"120310006005",1247,0,433,274
"120310008001",513,83,379,11
"120310008002",1069,12,194,0
"120310144081",874,11,323,93
"120310144082",797,31,531,262
"120310144131",1232,51,287,386
"120310144132",809,40,879,362
"120310144133",637,91,899,95
"120310159221",472,9,209,225
"120310159222",1758,27,37,247
"120310159223",1033,0,268,111
"120310159241",981,0,485,438
"120310159242",1795,0,1195,546
"120310159251",708,0,454,110
"120310159252",571,11,313,121
"120310159253",1582,0,254,453
"120310159261",3708,39,1256,649
"120310159262",1641,6,651,227
"120310159263",1037,73,130,85
