"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"120310006001",242,77,101,41,70,13,110,65,36,0,0,0,30
"120310006002",20,0,0,0,0,32,781,159,69,0,0,0,30
"120310006003",78,75,60,0,0,0,0,0,0,27,22,0,30
"120310006004",21,13,0,0,0,0,43,0,0,40,0,0,30
"120310006005",30,0,0,20,0,0,94,118,207,69,0,65,30
"120310008001",53,55,0,0,0,0,475,161,0,0,0,0,0
"120310008002",120,126,0,0,0,0,445,233,0,0,0,0,0
"120310144081",76,265,72,20,36,0,0,78,8,0,0,0,21
"120310144082",78,125,114,188,0,0,40,0,22,0,0,0,22
"120310144131",121,141,65,0,0,13,212,162,109,86,0,0,0
"120310144132",52,258,14,153,83,0,110,80,0,0,0,0,0
"120310144133",81,376,136,60,14,0,18,0,0,0,0,0,0
"120310159221",46,138,0,24,41,4,14,37,43,0,0,0,18
"120310159222",0,8,0,47,0,0,648,399,115,23,0,0,17
"120310159223",0,0,0,0,0,0,513,313,41,0,0,0,17
"120310159241",25,197,23,72,99,0,477,65,0,0,0,0,222
"120310159242",192,219,59,117,28,43,250,179,214,19,0,0,223
"120310159251",143,45,0,0,0,0,217,239,78,0,0,23,0
"120310159252",18,49,71,0,0,0,179,49,28,16,0,55,0
"120310159253",160,42,0,0,0,0,443,297,296,0,0,0,0
"120310159261",110,98,132,42,0,0,1313,957,63,149,15,0,154
"120310159262",133,111,0,0,0,0,525,585,0,83,0,0,153
"120310159263",114,80,65,88,0,0,219,146,0,0,0,0,154
