"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"25021416101",108,251,207,0,66,265,0,100,682,0,0,266,117
"25021416102",86,254,59,0,36,132,3,55,414,0,0,76,1427
"25021416200",5,165,191,35,215,448,189,165,719,0,0,106,24
"25021416300",32,100,88,0,276,303,0,137,633,0,0,128,10
"25021416400",19,243,73,28,200,430,0,171,735,0,0,200,45
"25021417100",67,406,83,27,507,311,92,136,500,13,32,187,9
"25021417300",124,414,69,0,675,248,78,103,303,0,0,41,219
"25021417400",57,85,112,9,158,249,25,60,235,0,0,90,0
"25021417501",104,243,72,84,288,164,0,244,359,36,22,415,0
"25021417502",103,230,60,276,507,78,119,257,343,9,35,152,9
"25021417601",132,91,159,175,602,71,44,288,257,0,58,82,399
"25021417602",213,308,122,45,412,149,34,454,379,0,0,63,2
"25021417702",10,88,79,74,173,135,0,155,240,15,39,33,132
"25021417801",72,494,271,0,432,440,0,76,609,0,0,214,0
"25021417802",210,148,124,129,134,91,8,52,150,0,10,119,1
"25021417901",444,1037,144,381,1085,244,0,250,652,0,0,8,128
"25021417902",99,131,29,39,427,173,98,50,366,55,37,128,55
"25021418002",165,328,41,155,1027,204,62,408,550,0,27,125,82
"25021418003",10,98,8,41,454,106,117,102,439,7,31,33,0
"25021418004",103,178,16,188,411,280,87,324,456,30,0,112,12
"25021418101",255,321,143,99,441,432,18,234,310,0,46,68,14
"25021418102",40,117,39,116,460,395,0,232,343,5,39,108,13
