"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"25021416101",871,329,779,668,252,749,399,697,705,529
"25021416102",398,546,253,476,182,188,1238,87,513,433
"25021416200",568,452,752,750,407,981,321,782,1208,455
"25021416300",764,453,674,727,135,721,324,710,542,305
"25021416400",876,410,592,904,203,1122,438,645,878,196
"25021417100",408,659,644,653,234,504,761,538,793,556
"25021417300",73,538,328,386,283,35,390,391,364,634
"25021417400",262,234,262,483,161,315,261,237,446,194
"25021417501",414,856,521,648,193,608,571,749,835,168
"25021417502",403,931,557,652,111,115,729,363,719,258
"25021417601",453,725,241,781,286,264,929,360,919,326
"25021417602",292,692,578,406,355,225,945,226,468,406
"25021417702",276,249,401,305,120,222,356,346,320,101
"25021417801",778,372,475,1099,334,579,675,755,871,422
"25021417802",369,471,202,384,182,285,297,240,416,205
"25021417901",265,1304,425,1096,679,131,1020,546,876,819
"25021417902",258,690,210,629,257,185,671,376,490,174
"25021418002",761,1089,1100,530,166,677,797,1079,515,403
"25021418003",101,613,439,252,51,77,725,196,205,100
"25021418004",461,540,809,610,209,439,957,761,559,187
"25021418101",605,581,277,556,171,213,847,612,561,416
"25021418102",389,725,674,427,51,230,619,325,298,130
