"geoid","MC","NS","SM","NF","GQ"
"25021416101",1361,190,394,0,117
"25021416102",657,21,313,124,1427
"25021416200",1237,544,222,235,24
"25021416300",1073,310,217,97,10
"25021416400",1384,242,425,48,45
"25021417100",1133,256,717,255,9
"25021417300",478,95,1105,377,219
"25021417400",545,234,271,30,0
"25021417501",841,570,455,165,0
"25021417502",808,304,847,210,9
"25021417601",881,318,588,172,399
"25021417602",632,176,847,524,2
"25021417702",609,102,311,19,132
"25021417801",1468,184,765,191,0
"25021417802",340,351,379,105,1
"25021417901",877,543,2464,361,128
"25021417902",561,330,428,313,55
"25021418002",1661,195,971,265,82
"25021418003",344,55,514,533,0
"25021418004",858,363,621,343,12
"25021418101",733,647,836,151,14
"25021418102",647,199,525,523,13
