"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"250214161011",1081,46,422,402
"250214161012",1193,14,283,490
"250214161013",321,0,136,212
"250214161014",516,0,562,300
"250214161021",1498,69,1659,216
"250214161022",494,20,153,205
"250214162001",1079,119,225,77
"250214162002",304,0,154,247
"250214162003",346,0,59,170
"250214162004",356,22,330,150
"250214162005",388,0,144,168
"250214162006",555,122,278,133
"250214162007",517,35,397,301
"250214163001",716,72,310,336
"250214163002",578,9,332,308
"250214163003",419,28,214,176
"250214163004",476,72,197,251
"250214163005",490,13,151,207
"250214164001",450,11,59,265
"250214164002",491,15,248,468
"250214164003",820,16,129,463
"250214164004",203,0,285,108
"250214164005",388,0,151,124
"250214164006",579,54,335,253
"250214164007",233,0,49,67
"250214171001",523,0,191,64
"250214171002",497,76,229,181
"250214171003",339,0,150,56
"250214171004",610,34,255,252
"250214171005",246,0,166,0
"250214173001",2043,115,1156,108
"250214174001",539,28,419,145
"250214174002",563,10,464,204
"250214174003",287,16,133,47
"250214175011",802,0,257,284
"250214175012",1200,133,144,185
"250214175013",501,169,370,233
"250214175014",753,0,357,175
"250214175021",1213,14,225,195
"250214175022",665,43,218,72
"250214175023",366,8,175,69
"250214175024",914,10,533,118
"250214176011",344,58,90,91
"250214176012",1127,28,503,115
"250214176013",646,175,468,103
"250214176014",718,106,492,220
"250214176021",800,18,342,176
"250214176022",1025,90,535,195
"250214176023",786,12,495,119
"250214177021",527,7,146,155
"250214177022",451,48,288,27
"250214177023",572,51,135,289
"250214178011",684,102,284,204
"250214178012",342,20,506,119
"250214178013",763,0,506,240
"250214178014",374,21,120,71
"250214178015",1150,34,271,549
"250214178021",779,95,567,344
"250214178022",555,54,468,189
"250214179011",1217,122,652,45
"250214179012",810,106,498,72
"250214179013",355,73,265,66
"250214179014",563,0,407,22
"250214179015",423,52,735,37
"250214179021",1003,11,379,24
"250214179022",800,37,421,215
"250214179023",629,20,249,152
"250214180021",1104,38,288,428
"250214180022",357,83,193,22
"250214180023",625,83,186,110
"250214180024",1856,20,885,839
"250214180031",1215,48,178,95
"250214180041",736,64,318,229
"250214180042",1236,28,424,131
"250214180043",1207,87,634,438
"250214181011",1282,121,430,449
"250214181012",376,120,133,109
"250214181013",426,112,325,202
"250214181021",560,27,104,112
"250214181022",1256,245,193,348
