"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"25021416101",84,96,134,76,166,1220,59,88,0,0,16,6,117
"25021416102",40,49,45,70,35,641,57,57,33,27,13,48,1427
"25021416200",131,227,22,179,201,958,18,276,34,72,99,21,24
"25021416300",9,17,27,101,235,972,51,22,112,17,73,61,10
"25021416400",147,63,47,46,389,1319,0,0,0,0,44,44,45
"25021417100",131,96,125,84,262,645,104,96,369,217,93,139,9
"25021417300",31,130,117,68,217,318,247,102,57,60,43,665,219
"25021417400",37,108,44,128,108,431,36,9,0,40,51,88,0
"25021417501",80,97,122,121,104,648,239,66,126,215,75,138,0
"25021417502",52,121,158,86,216,399,134,224,267,70,219,223,9
"25021417601",53,39,173,186,436,353,128,152,88,59,101,191,399
"25021417602",45,178,99,131,207,264,240,146,153,72,476,168,2
"25021417702",14,35,47,64,147,367,161,10,16,34,94,52,132
"25021417801",197,348,118,169,546,763,19,30,58,83,169,108,0
"25021417802",39,40,64,52,101,202,364,165,101,9,10,28,1
"25021417901",59,194,345,150,276,91,730,521,787,527,282,283,128
"25021417902",16,36,128,96,165,234,118,12,45,155,329,298,55
"25021418002",83,34,17,62,248,489,209,192,373,372,536,477,82
"25021418003",0,15,18,10,17,271,155,84,89,167,347,273,0
"25021418004",47,89,69,117,154,245,266,301,236,81,259,321,12
"25021418101",151,35,128,145,146,630,379,154,96,52,219,232,14
"25021418102",51,42,55,53,76,306,66,173,114,287,184,487,13
