"geoid","0","1","2","3+","GQ"
"25021416101",566,331,782,266,117
"25021416102",399,168,472,76,1427
"25021416200",361,698,1073,106,24
"25021416300",220,579,770,128,10
"25021416400",335,658,906,200,45
"25021417100",556,845,728,232,9
"25021417300",607,923,484,41,219
"25021417400",254,416,320,90,0
"25021417501",419,536,603,473,0
"25021417502",393,861,719,196,9
"25021417601",382,848,589,140,399
"25021417602",643,606,867,63,2
"25021417702",177,382,395,87,132
"25021417801",837,872,685,214,0
"25021417802",482,354,210,129,1
"25021417901",1625,1710,902,8,128
"25021417902",259,639,514,220,55
"25021418002",534,1386,1020,152,82
"25021418003",116,601,658,71,0
"25021418004",297,879,867,142,12
"25021418101",719,972,562,114,14
"25021418102",196,971,575,152,13
