"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"48015760100",772,632,545,210,196
"48015760400",947,771,656,344,825
"48015760501",1087,1043,614,577,876
"48015760502",2302,1088,756,678,949
"48089750100",1501,985,1099,526,387
"48089750200",637,537,245,329,191
"48089750300",1376,1513,931,925,521
"48089750400",1311,1068,946,713,1079
"48089750500",1631,1259,733,371,487
"48321730100",1549,1048,212,130,253
"48321730202",192,516,108,147,184
"48321730301",1474,866,549,625,397
"48321730302",973,1690,1017,477,680
"48321730303",98,146,201,53,209
"48321730400",1196,680,506,207,279
"48321730600",1554,1440,1361,762,610
"48321730700",902,1000,293,617,385
"48321990000",0,0,0,0,0
"48473680100",5444,1694,1277,1007,3025
"48481740100",1054,1281,1023,694,905
"48481740200",764,331,438,138,147
"48481740300",637,390,167,197,96
"48481740400",1960,1458,1288,516,894
"48481740500",622,794,823,432,415
"48481740600",1446,743,663,415,441
"48481740700",502,561,357,82,111
"48481740800",1432,988,944,355,293
"48481741000",1824,1153,973,354,364
"48481741100",548,737,427,244,364
