"geoid","MC","NS","SM","NF","GQ"
"48015760100",512,228,340,13,24
"48015760400",771,250,259,94,26
"48015760501",1052,251,404,14,146
"48015760502",1047,264,671,42,28
"48089750100",582,454,285,148,33
"48089750200",495,59,284,6,3
"48089750300",1270,242,608,14,72
"48089750400",1119,244,448,170,70
"48089750500",660,247,512,90,230
"48321730100",492,302,202,0,152
"48321730202",288,66,69,105,0
"48321730301",756,260,384,127,9
"48321730302",802,432,1324,114,66
"48321730303",162,0,318,0,0
"48321730400",504,97,490,24,82
"48321730600",1053,713,690,0,8
"48321730700",681,266,324,18,0
"48321990000",0,0,0,0,0
"48473680100",2467,616,451,116,51
"48481740100",1087,351,626,0,53
"48481740200",275,115,198,26,101
"48481740300",260,86,179,5,0
"48481740400",1293,543,468,67,197
"48481740500",383,411,623,36,172
"48481740600",851,218,320,25,9
"48481740700",298,173,191,10,0
"48481740800",659,504,289,86,7
"48481741000",991,303,225,19,0
"48481741100",537,125,171,86,76
