"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"48015760100",155,282,87,65,147,66,44,181,54,5,5,2,24
"48015760400",149,158,130,76,290,368,34,34,31,23,42,39,26
"48015760501",133,130,232,234,228,429,113,56,89,37,0,40,146
"48015760502",123,119,417,69,253,311,183,55,44,147,169,134,28
"48089750100",105,274,241,116,241,167,63,21,18,115,66,42,33
"48089750200",129,154,163,75,107,39,60,41,45,0,0,31,3
"48089750300",119,320,274,266,286,353,153,138,182,0,25,18,72
"48089750400",153,315,207,182,396,567,44,33,45,0,19,20,70
"48089750500",250,169,138,72,125,308,187,132,88,14,26,0,230
"48321730100",117,65,115,97,28,130,232,164,33,0,0,15,152
"48321730202",40,187,8,95,6,141,8,0,43,0,0,0,0
"48321730301",69,92,414,40,200,221,100,119,115,7,74,76,9
"48321730302",68,135,86,48,95,45,681,557,370,183,234,170,66
"48321730303",24,128,57,62,27,92,80,0,6,0,0,4,0
"48321730400",72,109,122,204,93,131,227,135,22,0,0,0,82
"48321730600",325,348,605,234,363,151,242,77,0,31,80,0,8
"48321730700",255,135,356,8,310,176,0,0,22,20,7,0,0
"48321990000",0,0,0,0,0,0,0,0,0,0,0,0,0
"48473680100",73,215,330,253,787,1506,152,19,0,108,117,90,51
"48481740100",136,369,343,245,345,448,44,101,0,24,9,0,53
"48481740200",71,116,74,26,25,50,74,33,29,84,32,0,101
"48481740300",91,61,36,22,49,45,92,24,110,0,0,0,0
"48481740400",217,246,392,242,276,329,45,375,22,113,5,109,197
"48481740500",46,184,253,72,152,62,165,159,190,14,77,79,172
"48481740600",180,233,285,65,334,149,66,5,65,29,0,3,9
"48481740700",69,74,38,91,74,11,65,203,0,7,40,0,0
"48481740800",79,205,161,140,141,193,226,268,14,43,32,36,7
"48481741000",56,186,418,155,97,243,16,261,80,15,11,0,0
"48481741100",170,73,76,129,148,162,24,0,55,21,61,0,76
