"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"480157601001",95,127,55,49,3,137,137,44,52,6,39,0,12
"480157601002",106,118,25,42,42,3,2,0,2,0,9,0,12
"480157604001",106,243,82,48,78,15,34,53,31,0,0,0,9
"480157604002",36,115,40,31,9,0,13,13,23,0,0,2,8
"480157604003",55,239,28,35,1,10,15,2,0,0,17,0,9
"480157605011",18,250,0,44,62,13,27,73,5,39,0,0,49
"480157605012",193,353,99,149,61,2,18,0,40,0,4,0,48
"480157605013",19,73,0,22,0,28,129,0,0,0,0,0,49
"480157605021",107,197,12,1,0,74,78,5,0,0,0,0,7
"480157605022",23,19,5,48,35,0,73,21,71,0,0,0,7
"480157605023",67,18,196,51,0,66,50,8,0,20,9,0,7
"480157605024",127,169,19,58,0,0,146,0,63,11,177,0,7
"480897501001",19,7,0,8,11,0,0,6,0,0,0,0,8
"480897501002",47,164,162,31,14,78,44,104,66,0,42,15,8
"480897501003",103,222,23,29,0,12,19,18,0,0,0,0,8
"480897501004",53,74,0,38,30,19,0,11,0,0,0,0,9
"480897502001",68,160,14,25,25,0,51,0,5,0,0,0,1
"480897502002",146,109,104,0,0,16,19,102,0,0,0,0,2
"480897503001",50,200,46,43,0,0,0,0,0,0,0,0,18
"480897503002",40,149,22,0,20,0,88,25,0,0,0,0,18
"480897503003",105,256,72,6,0,0,45,5,0,0,0,0,18
"480897503004",125,150,204,85,27,18,155,61,88,49,0,0,18
"480897504001",72,261,33,0,0,44,0,0,13,19,0,0,18
"480897504002",248,111,85,0,52,0,28,0,0,0,0,0,17
"480897504003",52,304,101,83,0,0,31,0,0,0,0,0,18
"480897504004",0,319,13,20,0,22,17,53,0,0,0,0,17
"480897505001",68,269,17,94,37,47,0,63,0,0,0,0,58
"480897505002",132,30,0,79,0,0,17,55,25,18,0,0,57
"480897505003",42,65,39,0,14,0,55,0,11,0,0,8,57
"480897505004",46,20,4,29,30,0,152,0,3,0,27,13,58
"483217301001",63,78,55,35,84,38,26,5,0,0,9,0,50
"483217301002",43,25,0,7,0,10,44,31,101,28,13,0,51
"483217301003",13,69,5,11,0,16,13,83,0,91,0,0,51
"483217302021",26,348,42,57,4,0,43,0,0,0,0,8,0
"483217303011",51,138,7,0,40,73,0,18,0,0,0,0,3
"483217303012",37,27,0,68,10,0,0,0,0,12,0,0,2
"483217303013",103,68,104,4,0,0,8,83,0,6,0,0,2
"483217303014",129,145,6,26,0,0,56,90,58,97,63,0,2
"483217303021",29,30,0,13,0,17,172,38,27,0,97,12,22
"483217303022",14,29,0,125,31,0,80,34,74,0,0,0,22
"483217303023",51,74,24,40,0,0,978,311,238,115,19,0,22
"483217303031",238,53,90,0,0,9,80,10,0,0,0,0,0
"483217304001",135,60,63,115,24,0,57,117,0,0,0,50,27
"483217304002",99,0,0,0,0,0,91,0,20,0,0,0,28
"483217304003",73,36,0,51,50,25,35,14,0,0,0,0,27
"483217306001",76,104,272,103,0,61,52,28,52,0,0,0,2
"483217306002",273,71,0,48,82,0,31,0,0,0,0,0,1
"483217306003",87,30,78,0,26,0,0,57,0,77,0,0,1
"483217306004",92,191,17,0,0,0,0,133,0,0,0,0,2
"483217306005",79,133,151,0,52,0,0,0,0,0,0,0,2
"483217307001",174,232,0,35,79,0,22,0,0,0,5,0,0
"483217307002",50,226,11,13,22,0,0,0,0,0,7,0,0
"483217307003",8,26,0,28,22,46,15,0,0,0,0,0,0
"483217307004",55,81,0,91,0,41,0,0,0,0,0,0,0
"484736801001",95,159,63,253,129,20,0,0,0,0,7,0,51
"484817401001",45,28,93,21,0,78,16,45,9,0,0,0,11
"484817401002",0,219,0,20,16,0,0,0,0,0,0,0,11
"484817401003",23,153,20,37,0,0,34,7,0,9,0,0,10
"484817401004",240,101,65,0,0,30,0,0,0,0,0,0,11
"484817401005",249,134,64,210,40,0,19,39,0,0,0,0,10
"484817402001",63,66,12,0,15,0,0,23,0,0,42,0,51
"484817402002",30,79,72,0,20,5,105,12,70,0,0,0,50
"484817403001",35,23,6,0,46,0,13,9,98,8,0,0,0
"484817403002",54,88,8,44,0,0,77,3,0,0,0,18,0
"484817404001",37,13,85,0,0,0,12,0,0,0,0,0,33
"484817404002",64,335,34,70,40,0,20,0,0,0,58,0,33
"484817404003",83,0,80,49,0,0,0,21,0,0,0,0,33
"484817404004",69,117,0,66,0,85,65,301,0,0,0,0,33
"484817404005",36,64,74,0,32,0,66,0,0,0,0,0,32
"484817404006",0,117,131,21,0,0,16,5,22,33,0,50,33
"484817405001",65,222,60,114,0,0,26,75,56,0,0,0,86
"484817405002",122,48,84,8,9,37,410,38,79,0,0,0,86
"484817406001",99,274,19,102,62,0,0,7,88,0,0,19,3
"484817406002",110,41,0,32,19,0,10,0,25,0,0,0,3
"484817406003",101,167,37,81,102,0,0,14,0,5,0,0,3
"484817407001",71,181,28,50,14,13,120,40,71,32,0,52,0
"484817408001",70,197,11,29,14,0,53,0,47,0,0,0,2
"484817408002",12,70,36,60,0,0,12,22,54,67,53,0,2
"484817408003",14,144,156,32,35,39,128,28,43,96,16,0,3
"484817410001",28,41,50,1,11,70,17,17,15,29,0,0,0
"484817410002",55,30,33,0,16,6,22,0,0,0,0,0,0
"484817410003",43,131,23,155,186,0,12,69,0,30,151,0,0
"484817410004",42,113,58,24,39,0,6,15,0,0,0,0,0
"484817411001",12,256,34,36,0,0,0,10,21,0,16,0,38
"484817411002",135,95,63,104,23,0,24,0,29,61,0,0,38
