"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"48015760100",12,237,149,0,147,289,0,18,193,0,0,48,24
"48015760400",57,161,250,15,86,337,0,4,396,0,0,68,26
"48015760501",11,201,263,0,73,556,0,0,541,0,0,76,146
"48015760502",49,397,162,0,261,535,28,39,359,0,0,194,28
"48089750100",36,231,79,39,145,348,0,96,376,0,66,53,33
"48089750200",43,75,197,0,147,221,0,0,156,0,0,5,3
"48089750300",120,247,378,0,189,410,18,55,551,0,0,166,72
"48089750400",0,216,491,0,156,410,0,17,550,0,44,97,70
"48089750500",56,123,230,56,291,363,3,10,344,0,0,33,230
"48321730100",16,237,84,42,86,130,0,13,384,0,0,4,152
"48321730202",0,39,149,0,43,61,0,8,228,0,0,0,0
"48321730301",0,158,156,0,242,478,0,82,367,0,6,38,9
"48321730302",339,220,38,0,1189,294,0,186,400,0,0,6,66
"48321730303",0,56,74,80,115,52,0,0,103,0,0,0,0
"48321730400",35,349,77,0,112,376,0,13,116,0,0,37,82
"48321730600",135,471,232,24,451,475,0,17,466,0,0,185,8
"48321730700",0,106,314,0,220,299,0,0,253,0,0,97,0
"48321990000",0,0,0,0,0,0,0,0,0,0,0,0,0
"48473680100",0,128,283,12,384,1113,0,87,1523,0,0,120,51
"48481740100",282,106,207,24,135,521,0,0,649,0,0,140,53
"48481740200",54,124,41,0,83,79,0,2,231,0,0,0,101
"48481740300",23,114,34,0,144,86,0,0,113,0,0,16,0
"48481740400",58,195,334,41,476,433,0,5,475,0,0,354,197
"48481740500",110,79,52,174,404,402,0,0,125,0,0,107,172
"48481740600",13,134,260,0,106,363,0,0,484,0,0,54,9
"48481740700",37,60,70,25,110,134,0,0,149,0,40,47,0
"48481740800",0,187,100,0,419,288,0,7,356,0,0,181,7
"48481741000",48,137,68,51,183,355,21,1,350,0,27,297,0
"48481741100",43,44,141,0,59,235,0,32,299,0,0,66,76
