"geoid","gq_pop"
"48015760100",24
"48015760400",26
"48015760501",146
"48015760502",28
"48089750100",33
"48089750200",3
"48089750300",72
"48089750400",70
"48089750500",230
"48321730100",152
"48321730202",0
"48321730301",9
"48321730302",66
"48321730303",0
"48321730400",82
"48321730600",8
"48321730700",0
"48321990000",0
"48473680100",51
"48481740100",53
"48481740200",101
"48481740300",0
"48481740400",197
"48481740500",172
"48481740600",9
"48481740700",0
"48481740800",7
"48481741000",0
"48481741100",76
