"geoid","0","1","2","3+","GQ"
"48015760100",398,436,211,48,24
"48015760400",468,438,400,68,26
"48015760501",475,629,541,76,146
"48015760502",608,796,426,194,28
"48089750100",346,532,472,119,33
"48089750200",315,368,156,5,3
"48089750300",745,599,624,166,72
"48089750400",707,566,567,141,70
"48089750500",409,710,357,33,230
"48321730100",337,258,397,4,152
"48321730202",188,104,236,0,0
"48321730301",314,720,449,44,9
"48321730302",597,1483,586,6,66
"48321730303",130,247,103,0,0
"48321730400",461,488,129,37,82
"48321730600",838,950,483,185,8
"48321730700",420,519,253,97,0
"48321990000",0,0,0,0,0
"48473680100",411,1509,1610,120,51
"48481740100",595,680,649,140,53
"48481740200",219,162,233,0,101
"48481740300",171,230,113,16,0
"48481740400",587,950,480,354,197
"48481740500",241,980,125,107,172
"48481740600",407,469,484,54,9
"48481740700",167,269,149,87,0
"48481740800",287,707,363,181,7
"48481741000",253,589,372,324,0
"48481741100",228,294,331,66,76
