"geoid","gq_pop"
"04013422305",5
"04013422307",51
"04013422308",20
"04013422309",5
"04013422401",23
"04013422402",0
"04013422403",112
"04013422404",0
"04013422506",18
"04013422507",0
"04013422508",27
"04013422509",58
"04013422510",14
"04013422511",14
"04013422512",27
"04013422620",12
"04013422621",36
"04013422622",29
"04013422623",17
"04013811300",5
"04013814200",0
"04013814300",14
"04013814400",4
"04013814500",17
"04013814600",3
"04013814700",104
"04013814900",3
"04013815000",35
