"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"04013422305",2067,1646,976,325,1701
"04013422307",1328,796,883,783,771
"04013422308",1663,978,670,762,1525
"04013422309",1827,818,1040,550,1449
"04013422401",837,645,866,816,792
"04013422402",1824,911,1087,873,1070
"04013422403",1323,1026,573,393,1560
"04013422404",1336,1007,565,484,1117
"04013422506",1957,957,1049,696,1118
"04013422507",761,663,581,557,1361
"04013422508",1206,820,641,582,747
"04013422509",1371,1174,849,682,1156
"04013422510",841,625,378,293,800
"04013422511",1136,398,500,362,837
"04013422512",1846,809,531,718,1289
"04013422620",1263,547,334,307,857
"04013422621",1362,723,755,590,1140
"04013422622",1136,908,775,495,1096
"04013422623",3204,930,924,995,1984
"04013811300",849,567,350,503,821
"04013814200",319,631,319,268,907
"04013814300",1107,827,896,334,1251
"04013814400",1723,828,790,861,1788
"04013814500",1740,685,682,884,1222
"04013814600",1416,991,1194,1268,1058
"04013814700",1325,1069,626,592,987
"04013814900",1208,465,441,352,1035
"04013815000",1464,537,767,583,1430
