"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"04013422305",20,231,305,20,575,439,0,0,782,14,0,169,5
"04013422307",0,139,74,80,365,438,0,136,433,0,10,172,51
"04013422308",6,164,176,0,490,362,28,0,652,0,0,150,20
"04013422309",23,164,104,63,472,422,0,38,667,0,0,186,5
"04013422401",34,142,135,23,449,302,0,102,522,0,0,115,23
"04013422402",21,147,147,0,356,365,29,61,557,0,26,240,0
"04013422403",42,141,110,0,315,493,0,38,561,0,10,156,112
"04013422404",15,98,90,0,282,299,0,144,631,0,0,76,0
"04013422506",0,210,152,0,193,369,0,209,624,0,0,144,18
"04013422507",0,125,200,0,205,333,0,10,677,0,10,134,0
"04013422508",38,64,115,22,306,268,0,12,350,0,0,200,27
"04013422509",0,117,289,6,227,329,14,33,591,0,11,293,58
"04013422510",0,40,89,0,122,236,0,25,267,0,0,184,14
"04013422511",16,62,111,0,52,200,0,124,338,0,0,125,14
"04013422512",0,31,94,11,134,343,35,22,833,0,0,133,27
"04013422620",0,40,54,0,66,215,0,10,470,0,0,111,12
"04013422621",77,88,192,0,145,257,0,15,586,0,0,202,36
"04013422622",15,64,87,18,114,397,11,47,613,0,17,154,29
"04013422623",32,133,104,163,586,615,0,44,695,0,0,451,17
"04013811300",6,26,71,0,90,160,2,24,509,0,0,163,5
"04013814200",10,140,192,0,142,292,0,21,293,0,0,45,0
"04013814300",21,111,87,74,231,377,0,62,533,0,51,151,14
"04013814400",0,118,139,0,358,316,0,110,823,0,0,301,4
"04013814500",0,135,90,0,388,423,0,61,585,0,0,196,17
"04013814600",33,96,72,25,764,649,0,144,454,0,0,335,3
"04013814700",29,148,105,0,106,338,15,12,408,0,0,324,104
"04013814900",10,38,85,5,102,213,0,0,471,0,0,171,3
"04013815000",0,46,160,34,60,209,50,27,705,0,0,234,35
