"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"040134223051",70,109,16,0,0,0,21,20,0,23,0,0,1
"040134223052",37,329,352,13,29,10,0,0,0,31,58,14,1
"040134223053",208,245,52,95,113,0,85,152,13,0,0,0,2
"040134223054",0,128,63,16,76,0,26,86,0,65,0,0,1
"040134223071",106,114,20,91,25,5,0,47,13,6,0,0,13
"040134223072",46,108,9,8,8,14,0,18,0,0,0,0,12
"040134223073",36,156,44,90,27,12,99,0,21,0,9,0,13
"040134223074",62,0,0,8,0,0,240,201,125,43,8,28,13
"040134223081",78,181,5,0,0,102,195,84,180,0,0,0,7
"040134223082",50,360,32,75,35,0,0,0,0,0,0,0,7
"040134223083",86,175,70,44,70,64,95,24,23,0,0,0,6
"040134223091",112,84,61,0,44,15,0,134,0,0,0,0,2
"040134223092",121,286,193,108,54,13,97,24,0,0,0,21,1
"040134223093",29,45,167,108,36,0,163,183,0,41,0,0,2
"040134224011",125,175,104,45,25,0,151,243,159,0,44,0,8
"040134224012",22,63,25,16,0,0,217,67,0,0,0,0,7
"040134224013",141,87,26,19,49,21,0,0,0,0,0,0,8
"040134224021",42,95,65,108,27,9,191,107,188,51,67,0,0
"040134224022",79,166,57,48,32,0,7,9,0,16,20,0,0
"040134224023",72,61,30,81,50,0,89,24,39,45,74,0,0
"040134224031",36,275,35,47,30,10,69,44,58,0,0,0,37
"040134224032",115,291,83,47,24,24,56,71,7,20,10,0,37
"040134224033",55,215,59,94,52,0,0,10,0,0,0,29,38
"040134224041",129,170,81,65,0,52,0,10,13,102,0,14,0
"040134224042",66,232,171,122,17,50,135,206,0,0,0,0,0
"040134225061",106,228,68,62,96,36,63,314,15,31,0,21,5
"040134225062",58,96,21,71,10,16,9,22,0,0,12,0,5
"040134225063",0,58,16,41,9,35,0,0,0,0,0,0,4
"040134225064",71,101,42,49,25,0,0,0,51,13,16,19,4
"040134225071",84,206,63,90,8,0,86,106,74,0,0,0,0
"040134225072",160,234,67,148,21,0,0,0,36,0,0,0,0
"040134225073",48,140,83,22,5,13,0,0,0,0,0,0,0
"040134225081",111,157,189,86,72,15,24,15,59,0,0,31,13
"040134225082",64,156,41,28,10,90,179,13,35,0,0,0,14
"040134225091",72,211,178,134,17,30,8,40,45,27,7,0,20
"040134225092",30,100,142,41,0,20,0,24,0,0,3,0,19
"040134225093",199,194,74,77,7,4,13,84,60,6,63,0,19
"040134225101",0,64,36,35,33,73,0,0,4,0,64,0,5
"040134225102",39,60,28,15,34,24,0,0,0,0,0,0,4
"040134225103",112,116,65,23,37,14,12,51,11,13,0,0,5
"040134225111",88,115,58,62,79,34,0,0,30,38,27,8,7
"040134225112",52,121,108,49,35,0,25,32,52,10,5,0,7
"040134225121",76,150,125,93,27,15,0,11,39,63,0,0,14
"040134225122",32,158,112,47,0,0,10,10,14,3,0,0,13
"040134226201",24,92,73,112,85,29,0,8,0,4,3,0,6
"040134226202",54,152,128,65,40,49,6,0,21,16,5,0,6
"040134226211",0,107,145,130,50,0,49,39,0,8,19,20,12
"040134226212",85,142,124,140,47,0,0,5,22,0,16,10,12
"040134226213",82,122,67,52,21,0,19,16,11,14,0,0,12
"040134226221",172,120,122,72,77,41,0,9,0,36,0,0,10
"040134226222",16,222,34,121,17,18,74,104,45,56,21,0,10
"040134226223",0,40,104,16,0,0,0,0,0,0,0,0,9
"040134226231",133,121,191,111,43,238,28,0,79,0,165,0,9
"040134226232",35,40,94,125,134,0,402,62,112,0,0,18,8
"040138113001",53,167,78,111,100,12,0,24,31,16,0,5,2
"040138113002",60,125,140,88,41,0,0,0,0,0,0,0,3
"040138142001",141,305,82,31,12,0,11,110,0,0,5,4,0
"040138142002",66,186,82,35,39,26,0,0,0,0,0,0,0
"040138143001",86,148,112,94,0,0,57,122,90,34,69,0,7
"040138143002",37,193,41,70,43,12,74,0,14,29,0,0,7
"040138144001",53,287,199,49,135,0,56,49,51,55,0,0,2
"040138144002",42,294,202,125,89,0,169,134,74,102,0,0,2
"040138145001",49,70,60,72,35,0,20,186,69,12,23,0,5
"040138145002",37,122,113,47,0,0,32,14,10,65,0,0,4
"040138145003",43,171,101,78,32,13,0,25,37,26,0,0,4
"040138145004",72,112,31,79,0,8,0,0,0,0,10,4,4
"040138146001",156,55,67,76,54,30,36,52,39,0,0,0,1
"040138146002",55,35,122,31,16,0,357,568,104,0,18,0,1
"040138146003",49,90,190,64,0,89,87,107,0,25,0,0,1
"040138147001",40,60,143,258,26,59,78,0,0,0,0,0,52
"040138147002",148,176,145,92,14,26,30,123,11,56,0,0,52
"040138149001",111,174,248,102,30,16,0,28,23,42,32,0,1
"040138149002",34,74,51,64,21,34,0,0,0,0,11,0,2
"040138150001",26,106,61,65,0,50,24,131,0,9,0,0,12
"040138150002",46,207,81,187,70,23,0,7,0,0,35,0,12
"040138150003",38,125,87,69,60,8,0,0,0,10,0,0,11
