"geoid","0","1","2","3+","GQ"
"04013422305",556,1034,782,183,5
"04013422307",213,883,569,182,51
"04013422308",346,852,680,150,20
"04013422309",291,957,705,186,5
"04013422401",311,774,624,115,23
"04013422402",315,721,647,266,0
"04013422403",293,808,599,166,112
"04013422404",203,581,775,76,0
"04013422506",362,562,833,144,18
"04013422507",325,538,687,144,0
"04013422508",217,596,362,200,27
"04013422509",406,562,638,304,58
"04013422510",129,358,292,184,14
"04013422511",189,252,462,125,14
"04013422512",125,488,890,133,27
"04013422620",94,281,480,111,12
"04013422621",357,402,601,202,36
"04013422622",166,529,671,171,29
"04013422623",269,1364,739,451,17
"04013811300",103,250,535,163,5
"04013814200",342,434,314,45,0
"04013814300",219,682,595,202,14
"04013814400",257,674,933,301,4
"04013814500",225,811,646,196,17
"04013814600",201,1438,598,335,3
"04013814700",282,444,435,324,104
"04013814900",133,320,471,171,3
"04013815000",206,303,782,234,35
