"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"040134223051",153,0,251,88
"040134223052",1072,194,640,605
"040134223053",1248,0,508,472
"040134223054",739,1,323,296
"040134223071",797,8,98,202
"040134223072",278,0,108,99
"040134223073",762,0,323,223
"040134223074",958,11,130,415
"040134223081",1086,18,466,529
"040134223082",973,66,336,62
"040134223083",806,102,342,563
"040134223091",590,0,261,185
"040134223092",1264,34,780,449
"040134223093",1147,60,117,610
"040134224011",1622,25,451,403
"040134224012",350,0,271,45
"040134224013",494,19,242,179
"040134224021",1451,0,348,754
"040134224022",468,10,419,229
"040134224023",1189,31,190,373
"040134224031",692,72,417,361
"040134224032",994,19,465,306
"040134224033",952,9,227,323
"040134224041",948,0,439,574
"040134224042",1503,79,527,366
"040134225061",1482,34,653,551
"040134225062",337,0,276,302
"040134225063",320,11,55,211
"040134225064",648,12,306,309
"040134225071",982,42,424,211
"040134225072",998,12,314,310
"040134225073",429,0,282,52
"040134225081",1171,15,504,550
"040134225082",934,94,331,360
"040134225091",1367,47,400,491
"040134225092",626,5,200,245
"040134225093",987,29,640,256
"040134225101",673,56,412,366
"040134225102",285,0,239,128
"040134225103",657,35,224,207
"040134225111",932,0,268,569
"040134225112",746,10,315,245
"040134225121",1052,12,387,359
"040134225122",654,0,154,172
"040134226201",754,23,256,518
"040134226202",913,31,400,364
"040134226211",891,0,435,589
"040134226212",859,30,549,320
"040134226213",597,32,194,175
"040134226221",1067,8,295,495
"040134226222",1226,30,479,325
"040134226223",296,0,158,35
"040134226231",1838,31,1002,1191
"040134226232",1315,69,348,807
"040138113001",1067,0,316,472
"040138113002",793,3,317,194
"040138142001",585,12,742,119
"040138142002",643,37,383,130
"040138143001",1428,72,332,388
"040138143002",638,51,408,232
"040138144001",1498,99,431,656
"040138144002",2014,17,647,600
"040138145001",723,55,258,600
"040138145002",722,0,178,260
"040138145003",853,1,502,201
"040138145004",482,0,214,233
"040138146001",789,17,608,235
"040138146002",1690,155,375,470
"040138146003",1263,62,252,387
"040138147001",1176,46,413,553
"040138147002",1202,42,676,376
"040138149001",1327,4,374,613
"040138149002",492,14,252,231
"040138150001",770,0,254,256
"040138150002",1221,48,441,514
"040138150003",669,8,286,269
