"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"04013422305",273,409,179,119,295,686,0,66,62,131,109,226,5
"04013422307",114,87,93,40,307,348,61,251,281,106,117,42,51
"04013422308",72,98,156,148,331,622,29,149,90,142,135,56,20
"04013422309",89,36,170,262,299,620,0,130,157,119,227,30,5
"04013422401",29,64,106,60,351,333,137,157,247,136,122,82,23
"04013422402",78,78,116,137,230,383,21,114,238,294,158,102,0
"04013422403",66,138,71,221,405,591,0,54,144,81,75,20,112
"04013422404",33,147,138,125,214,498,226,22,27,42,112,51,0
"04013422506",120,98,167,186,338,406,21,22,109,185,111,138,18
"04013422507",85,71,147,61,475,553,50,20,41,27,43,121,0
"04013422508",24,99,86,128,254,428,8,158,127,0,39,24,27
"04013422509",185,132,156,316,332,409,6,41,9,74,186,64,58
"04013422510",30,64,41,153,157,363,0,0,51,11,68,25,14
"04013422511",89,26,12,129,155,390,7,9,0,58,122,31,14
"04013422512",37,23,102,230,241,665,15,99,11,23,151,39,27
"04013422620",47,18,63,97,149,529,5,6,28,0,12,12,12
"04013422621",107,97,127,100,292,591,0,32,27,28,87,74,36
"04013422622",64,113,115,122,152,626,0,62,80,139,43,21,29
"04013422623",43,151,95,211,319,838,135,133,177,312,293,116,17
"04013811300",22,67,103,89,157,537,0,6,8,0,30,32,5
"04013814200",56,80,101,123,288,357,0,11,10,5,0,104,0
"04013814300",106,132,76,85,228,582,21,88,27,146,149,58,14
"04013814400",58,47,112,166,307,785,20,15,31,160,335,129,4
"04013814500",25,114,157,199,389,461,30,39,65,260,119,20,17
"04013814600",33,106,298,104,199,439,12,325,479,249,197,131,3
"04013814700",10,109,78,212,494,284,9,66,10,77,78,58,104
"04013814900",19,40,115,63,197,525,0,5,0,8,74,49,3
"04013815000",33,10,74,95,376,721,0,7,27,104,43,35,35
