"geoid","MC","NS","SM","NF","GQ"
"04013422305",1590,426,447,92,5
"04013422307",816,328,589,114,51
"04013422308",1096,269,504,159,20
"04013422309",1120,430,522,67,5
"04013422401",674,259,656,235,23
"04013422402",799,532,480,138,0
"04013422403",1048,379,331,108,112
"04013422404",1155,70,330,80,0
"04013422506",975,324,307,295,18
"04013422507",956,192,378,168,0
"04013422508",846,110,378,41,27
"04013422509",1129,275,322,184,58
"04013422510",634,113,163,53,14
"04013422511",694,137,165,32,14
"04013422512",1113,267,148,108,27
"04013422620",738,122,84,22,12
"04013422621",1043,184,235,100,36
"04013422622",1017,62,262,196,29
"04013422623",1507,381,715,220,17
"04013811300",700,216,113,22,5
"04013814200",793,98,218,26,0
"04013814300",931,258,339,170,14
"04013814400",1434,251,320,160,4
"04013814500",969,558,253,98,17
"04013814600",851,720,740,261,3
"04013814700",940,126,296,123,104
"04013814900",793,122,145,35,3
"04013815000",1234,53,134,104,35
