"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"04013422305",657,515,592,794,326,1036,789,459,871,551
"04013422307",430,790,428,667,65,529,659,337,393,114
"04013422308",672,659,646,622,266,578,397,445,780,284
"04013422309",718,688,585,662,171,540,489,552,879,213
"04013422401",391,689,530,462,99,353,635,293,430,219
"04013422402",683,962,486,391,184,717,525,605,632,277
"04013422403",549,268,471,556,224,521,547,575,798,328
"04013422404",501,383,372,674,230,530,489,422,649,186
"04013422506",735,600,664,618,149,704,615,541,605,276
"04013422507",367,425,431,560,206,367,479,467,555,199
"04013422508",567,583,354,447,132,473,447,345,451,160
"04013422509",717,666,490,648,256,435,651,550,701,179
"04013422510",473,386,371,453,71,329,409,359,398,33
"04013422511",512,406,271,409,55,340,373,197,386,136
"04013422512",832,483,603,642,105,646,588,561,609,119
"04013422620",613,277,362,343,118,331,389,398,332,96
"04013422621",682,495,506,688,140,574,289,487,587,223
"04013422622",511,714,425,627,109,462,366,444,658,98
"04013422623",1613,989,1082,713,89,1117,953,1277,506,156
"04013811300",539,359,358,334,92,253,385,304,414,124
"04013814200",177,98,356,328,274,131,197,365,381,344
"04013814300",465,521,370,682,99,479,453,440,655,295
"04013814400",593,741,540,790,215,844,699,605,770,165
"04013814500",883,701,429,572,131,553,591,707,481,234
"04013814600",554,921,721,827,72,786,849,602,821,150
"04013814700",817,360,558,446,248,332,307,733,397,286
"04013814900",560,110,480,374,121,425,223,490,392,132
"04013815000",427,519,575,672,195,688,392,514,591,163
