"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"12003040101",54,336,207,50,237,442,9,0,962,0,0,361,331
"12003040102",71,342,303,56,450,234,51,26,763,0,0,436,665
"12003040201",35,254,309,0,236,337,0,0,439,0,0,192,1588
"12003040202",4,122,420,109,202,374,0,9,570,0,0,163,0
"12089050102",0,467,277,0,258,219,0,34,220,0,0,84,7
"12089050201",68,196,429,5,85,286,15,5,40,0,0,10,20
"12089050203",8,569,633,0,269,257,0,0,201,0,0,42,0
"12089050504",26,166,234,16,291,397,0,0,489,0,0,200,0
"12089990000",0,0,0,0,0,0,0,0,0,0,0,0,0
