"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"120030401011",2173,21,954,1336
"120030401012",1718,44,911,637
"120030401013",194,0,385,77
"120030401021",451,0,625,166
"120030401022",895,231,649,158
"120030401023",690,52,291,349
"120030401024",1516,114,1170,698
"120030402011",827,72,473,920
"120030402012",74,0,1842,0
"120030402013",847,0,219,55
"120030402021",752,0,667,383
"120030402022",1780,0,1200,705
"120890501021",188,0,556,0
"120890501022",188,0,156,46
"120890502011",388,0,991,62
"120890502012",190,0,656,70
"120890502031",275,38,526,0
"120890502032",851,73,1690,116
"120890505041",484,33,395,53
"120890505042",1283,12,723,677
