"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"12003040101",159,341,500,185,635,507,54,104,100,11,62,0,331
"12003040102",113,495,427,180,402,526,227,70,61,34,197,0,665
"12003040201",237,321,274,206,389,136,115,44,80,0,0,0,1588
"12003040202",141,161,212,490,428,334,12,57,44,43,51,0,0
"12089050102",139,89,202,349,318,288,34,34,51,0,40,15,7
"12089050201",8,71,54,127,144,594,20,22,20,23,12,44,20
"12089050203",218,169,137,212,417,578,45,65,57,22,48,11,0
"12089050504",363,237,241,129,274,428,26,42,21,46,12,0,0
"12089990000",0,0,0,0,0,0,0,0,0,0,0,0,0
