"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"04013040502",203,466,453,186,249,493,0,64,298,0,0,97,113
"04013040515",7,339,722,0,268,344,0,17,291,0,0,180,2
"04013040516",58,1696,1029,59,459,646,20,103,557,0,0,0,0
"04013050603",15,253,292,70,135,801,12,87,397,0,0,73,11
"04013050604",0,127,156,160,107,238,46,15,281,0,10,148,104
"04013050609",0,706,161,12,124,292,0,21,556,0,0,154,0
"04013050611",19,43,105,0,118,335,22,0,962,0,36,130,0
"04013050701",8,179,213,0,379,603,94,21,564,0,41,194,0
"04013050702",226,407,48,90,354,427,0,56,749,0,0,180,9
"04013723304",54,629,337,0,302,414,0,100,553,0,50,246,7
"04013723305",46,155,54,13,111,188,0,10,149,0,19,75,37
"04013723306",0,0,20,0,4,0,0,0,6,0,0,0,6370
"04013940700",0,0,0,0,0,0,0,0,0,0,0,0,0
"04013941000",59,50,95,17,152,84,0,25,56,0,33,81,14
"04013941100",0,0,0,0,0,15,0,0,0,0,0,0,0
"04013980100",0,0,4,0,0,0,0,0,0,0,0,0,0
