"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"04013040502",76,336,559,214,337,340,361,131,98,37,0,20,113
"04013040515",352,222,389,123,346,498,55,14,109,42,18,0,2
"04013040516",377,458,849,748,1488,643,26,0,24,14,0,0,0
"04013050603",323,325,387,205,359,200,72,78,101,0,63,22,11
"04013050604",59,135,159,257,269,165,117,42,43,5,13,24,104
"04013050609",162,270,468,319,289,297,21,16,55,8,121,0,0
"04013050611",54,55,189,273,651,336,19,0,63,54,76,0,0
"04013050701",243,339,415,345,467,38,33,81,15,146,132,42,0
"04013050702",139,175,224,365,403,168,413,71,233,126,220,0,9
"04013723304",296,592,239,286,621,412,54,108,15,0,32,30,7
"04013723305",109,37,139,51,121,63,73,114,1,52,60,0,37
"04013723306",0,0,0,0,5,6,15,4,0,0,0,0,6370
"04013940700",0,0,0,0,0,0,0,0,0,0,0,0,0
"04013941000",118,38,101,62,42,65,39,108,32,15,7,25,14
"04013941100",0,0,15,0,0,0,0,0,0,0,0,0,0
"04013980100",0,0,0,4,0,0,0,0,0,0,0,0,0
