"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"04013040502",269,228,261,714,737,266,366,184,877,661
"04013040515",463,217,331,842,650,611,257,277,936,736
"04013040516",817,166,525,1752,1757,336,306,477,2369,1515
"04013050603",495,863,687,941,225,618,418,440,916,140
"04013050604",683,629,495,515,256,326,200,324,440,202
"04013050609",398,440,408,617,587,715,441,370,746,573
"04013050611",1205,636,767,514,86,1150,856,955,488,128
"04013050701",1096,1080,799,530,257,914,1016,617,798,112
"04013050702",935,820,526,547,269,572,935,771,847,299
"04013723304",784,720,578,1105,511,701,559,578,1317,621
"04013723305",259,130,413,265,170,202,141,350,49,97
"04013723306",16,2023,3131,1195,50,0,11,6,15,11
"04013940700",0,0,0,0,0,0,0,0,0,0
"04013941000",523,506,326,320,69,602,460,331,219,99
"04013941100",0,0,0,0,0,0,0,0,15,0
"04013980100",0,0,0,0,0,0,0,0,8,0
