"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"040130405021",235,0,247,168
"040130405022",397,0,207,63
"040130405023",534,0,615,155
"040130405024",625,13,135,111
"040130405151",874,10,1200,463
"040130405152",976,17,1227,553
"040130405161",329,50,1392,51
"040130405162",195,0,966,0
"040130506031",252,4,197,8
"040130506032",995,248,924,643
"040130506033",453,24,573,148
"040130506041",1389,27,928,709
"040130506042",497,22,319,179
"040130506091",305,11,1342,0
"040130506092",630,42,160,387
"040130506093",0,0,0,0
"040130506111",668,91,343,521
"040130506112",505,18,276,369
"040130507011",543,0,484,218
"040130507012",1134,143,1010,519
"040130507021",407,0,167,96
"040130507022",696,160,775,603
"040130507023",1974,0,727,555
"040137233041",570,8,422,558
"040137233042",778,16,741,510
"040137233051",466,0,496,61
"040137233052",464,0,346,243
"040137233061",15,6,6421,16
"040139407001",0,0,0,0
"040139410001",928,68,1364,882
"040139410002",82,0,29,102
"040139411001",15,0,0,0
"040139801001",0,0,8,0
