"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"040130405021",15,34,32,80,0,0,66,0,0,0,0,0,28
"040130405022",144,200,0,0,0,0,76,22,0,0,0,0,28
"040130405023",187,143,60,108,0,0,195,36,0,0,0,0,29
"040130405024",138,169,49,54,0,0,13,0,0,0,0,0,28
"040130405151",202,636,28,88,11,11,29,21,0,0,17,42,1
"040130405152",180,472,52,45,163,42,43,68,18,0,0,0,1
"040130405161",130,550,82,0,54,0,0,0,26,0,0,0,0
"040130405162",166,498,0,0,0,0,0,0,0,0,0,0,0
"040130506031",48,125,23,13,0,0,0,19,0,0,0,0,4
"040130506032",183,309,36,93,43,120,0,43,15,101,0,7,4
"040130506033",202,92,17,0,24,0,16,0,0,12,0,51,3
"040130506041",130,341,110,59,126,99,46,40,24,0,5,0,52
"040130506042",0,84,12,28,25,30,97,0,0,0,22,10,52
"040130506091",357,492,71,0,0,0,49,29,0,0,0,0,0
"040130506092",27,86,119,12,24,16,16,0,0,0,77,0,0
"040130506093",0,0,0,0,0,0,0,0,0,0,0,0,0
"040130506111",13,74,114,25,65,88,52,15,0,0,0,0,0
"040130506112",0,133,45,98,78,0,0,0,0,0,0,0,0
"040130507011",123,216,0,12,23,0,27,0,9,0,80,13,0
"040130507012",190,136,187,63,68,83,15,31,47,42,0,0,0
"040130507021",36,57,43,0,0,0,104,61,62,0,0,0,3
"040130507022",16,39,137,17,36,17,180,48,20,116,47,51,3
"040130507023",214,424,107,31,98,78,0,76,128,21,0,27,3
"040137233041",112,81,14,2,17,121,0,20,0,0,61,0,4
"040137233042",0,82,103,86,51,106,0,13,0,0,15,22,3
"040137233051",194,64,15,61,0,0,73,81,60,0,0,0,19
"040137233052",7,5,121,21,0,32,53,2,0,21,0,10,18
"040137233061",0,5,0,0,0,6,0,15,4,0,0,0,6370
"040139407001",0,0,0,0,0,0,0,0,0,0,0,0,0
"040139410001",60,134,45,20,53,114,29,26,35,36,26,57,7
"040139410002",0,0,0,0,0,0,1,0,0,0,0,16,7
"040139411001",15,0,0,0,0,0,0,0,0,0,0,0,0
"040139801001",0,4,0,0,0,0,0,0,0,0,0,0,0
