"geoid","0","1","2","3+","GQ"
"04013040502",1122,928,362,97,113
"04013040515",1068,612,308,180,2
"04013040516",2783,1164,680,0,0
"04013050603",560,1006,496,73,11
"04013050604",283,505,342,158,104
"04013050609",867,428,577,154,0
"04013050611",167,453,984,166,0
"04013050701",400,982,679,235,0
"04013050702",681,871,805,180,9
"04013723304",1020,716,653,296,7
"04013723305",255,312,159,94,37
"04013723306",20,4,6,0,6370
"04013940700",0,0,0,0,0
"04013941000",204,253,81,114,14
"04013941100",0,15,0,0,0
"04013980100",4,0,0,0,0
