"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"04013040502",1069,1049,1209,835,802
"04013040515",1955,1362,897,739,977
"04013040516",1909,2262,2286,1388,2268
"04013050603",1906,1289,1293,601,525
"04013050604",1801,878,977,489,432
"04013050609",1775,1153,1135,862,725
"04013050611",4216,1042,1139,1031,783
"04013050701",2822,1235,1651,914,541
"04013050702",2543,1488,1382,1089,641
"04013723304",2549,1897,1370,795,1019
"04013723305",498,401,269,438,161
"04013723306",23,2444,236,62,50
"04013940700",0,0,0,0,0
"04013941000",1805,708,609,166,134
"04013941100",0,0,0,15,0
"04013980100",0,4,0,4,0
