"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"482014210001",678,18,309,434
"482014210002",879,14,293,288
"482014211011",611,7,121,19
"482014211012",1014,22,175,224
"482014214011",552,42,246,216
"482014214012",1230,34,449,578
"482014214021",757,24,420,305
"482014214022",1029,22,372,732
"482014214031",830,79,287,402
"482014214032",623,36,266,509
"482014214033",876,48,289,258
"482014326001",437,0,291,212
"482014326002",561,109,251,345
"482014329011",467,86,341,171
"482014329012",338,10,162,136
"482014330031",627,0,742,377
"482014330032",1127,0,162,722
