"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"48201421000",5,47,76,0,68,307,0,6,484,0,0,52,24
"48201421101",69,76,28,114,694,158,35,175,146,0,0,25,0
"48201421401",17,139,90,200,496,10,30,48,110,126,45,15,5
"48201421402",0,24,0,125,513,192,59,192,31,0,48,78,0
"48201421403",126,140,6,116,311,154,0,262,58,103,41,161,2
"48201432600",33,146,23,34,176,197,0,27,202,0,0,14,0
"48201432901",21,70,17,52,365,161,50,132,197,40,88,0,9
"48201433003",297,160,24,217,587,40,113,142,202,22,49,202,0
