"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"482014210001",14,142,54,136,68,0,4,33,0,4,0,0,12
"482014210002",184,141,38,167,15,0,16,21,0,0,8,0,12
"482014211011",90,18,12,0,0,0,255,162,0,2,0,0,0
"482014211012",37,0,0,0,0,0,496,201,31,65,9,6,0
"482014214011",0,0,0,0,0,0,158,142,104,63,0,0,2
"482014214012",0,0,0,0,0,0,183,248,270,133,1,24,3
"482014214021",0,0,0,27,0,0,90,55,231,117,0,0,0
"482014214022",0,0,0,0,0,0,152,95,280,159,56,0,0
"482014214031",0,24,0,0,0,0,113,118,160,116,34,0,1
"482014214032",0,0,0,0,0,0,82,38,80,48,57,71,1
"482014214033",67,103,55,0,5,0,59,42,66,140,0,0,0
"482014326001",31,106,36,121,5,0,0,21,0,0,0,0,0
"482014326002",19,42,9,9,0,0,184,115,53,0,87,14,0
"482014329011",21,86,65,28,0,17,28,24,26,67,0,0,5
"482014329012",19,0,0,0,0,0,84,54,81,43,0,0,4
"482014330031",34,58,9,0,0,0,238,246,73,40,12,47,0
"482014330032",0,0,0,0,0,0,208,32,121,186,24,62,0
