puma,colsum_rel_tol,n_households,m_blockgroups,status,feasible,objective,solve_time_s
2503302,1.0,61052,94,MEMORY_LIMIT,false,,7.990999937057495
2503302,1.0,1000,8,OPTIMAL,true,5258.017338836453,0.2849998474121094
2503302,0.5,1000,8,OPTIMAL,true,5258.133486587121,0.30099987983703613
2503302,0.1,1000,8,OPTIMAL,true,5277.550847940946,0.37400007247924805
