"geoid","0","1","2","3+","GQ"
"25025010500",936,625,169,29,828
"25025010600",618,1000,428,0,0
"25025010701",280,752,298,50,393
"25025010702",248,710,379,10,121
"25025010801",263,941,215,32,326
"25025010802",259,975,483,8,122
"25025020101",453,1234,576,0,11
"25025020200",330,1080,680,43,0
"25025020301",379,548,367,70,84
"25025020302",119,272,260,9,0
"25025030100",193,417,376,105,0
"25025030200",113,494,321,51,0
"25025030400",363,1110,901,43,65
"25025030500",266,632,324,66,85
"25025040100",266,331,630,29,10
"25025040200",157,324,124,8,0
"25025040300",201,905,1060,27,0
"25025040401",208,524,490,96,34
"25025040600",162,922,853,83,17
"25025040801",447,1243,489,27,14
"25025050101",572,553,224,332,65
"25025050200",304,451,582,462,7
"25025050300",576,734,483,112,17
"25025050400",252,391,347,75,0
"25025050500",118,505,319,68,0
"25025050600",78,297,311,151,0
"25025050700",148,722,389,305,19
"25025050901",99,520,531,218,0
"25025051000",419,675,587,396,6
"25025051101",692,906,847,216,114
"25025051200",286,603,762,86,20
"25025070402",671,850,477,14,2
"25025070600",132,547,432,10,10
"25025070700",249,687,512,11,0
"25025071101",661,1079,515,27,390
"25025071201",565,766,531,42,269
"25025981300",9,13,10,0,0
"25025981502",0,0,0,0,0
"25025981600",0,0,0,0,0
"25025981700",0,0,0,0,0
