"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"25025010500",34,0,0,0,29,196,554,83,390,129,131,213,828
"25025010600",44,0,39,16,69,284,164,279,237,139,367,408,0
"25025010701",43,11,17,10,96,234,159,114,43,2,165,486,393
"25025010702",25,12,39,67,102,478,41,16,34,76,199,258,121
"25025010801",50,31,28,30,47,330,158,87,80,125,113,372,326
"25025010802",45,34,19,36,108,461,105,73,146,117,156,425,122
"25025020101",64,22,96,16,100,1068,38,97,128,77,168,389,11
"25025020200",0,51,0,0,44,340,316,143,112,321,356,450,0
"25025020301",44,10,12,18,12,146,218,48,32,183,143,498,84
"25025020302",12,27,6,9,17,177,52,66,34,51,63,146,0
"25025030100",27,5,7,10,36,58,211,35,115,158,266,163,0
"25025030200",9,7,0,0,46,60,66,109,28,103,343,208,0
"25025030400",18,43,87,35,63,293,177,48,122,427,484,620,65
"25025030500",21,71,18,76,41,271,111,53,100,49,192,285,85
"25025040100",8,36,43,8,56,587,112,56,41,16,98,195,10
"25025040200",11,0,31,9,14,238,164,71,22,25,16,12,0
"25025040300",19,74,14,105,189,992,36,34,18,128,141,443,0
"25025040401",49,8,19,10,70,493,52,159,80,9,158,211,34
"25025040600",8,39,59,41,193,489,263,49,121,114,165,479,17
"25025040801",91,19,87,31,240,474,327,281,103,117,74,362,14
"25025050101",61,49,52,87,47,301,456,267,0,97,164,100,65
"25025050200",9,54,26,67,88,318,173,318,49,189,274,234,7
"25025050300",22,0,11,8,49,132,549,252,166,299,142,275,17
"25025050400",71,25,12,43,39,119,137,146,163,46,176,88,0
"25025050500",64,0,61,5,85,130,55,154,53,98,153,152,0
"25025050600",14,14,0,33,21,58,38,132,129,130,113,155,0
"25025050700",13,0,56,54,26,137,139,140,355,224,266,154,19
"25025050901",36,0,33,77,30,237,44,111,230,101,206,263,0
"25025051000",13,125,69,66,126,342,354,131,114,132,261,344,6
"25025051101",14,106,109,138,418,298,457,146,509,171,17,278,114
"25025051200",31,40,18,0,81,247,174,85,54,248,145,614,20
"25025070402",37,0,0,24,0,166,577,262,85,170,188,503,2
"25025070600",46,11,18,0,96,578,33,15,20,12,41,251,10
"25025070700",10,0,22,12,11,435,230,160,154,57,152,216,0
"25025071101",110,0,0,29,264,467,436,141,317,95,118,305,390
"25025071201",19,8,12,86,90,412,444,194,69,45,145,380,269
"25025981300",0,0,4,0,0,24,0,0,0,4,0,0,0
"25025981502",0,0,0,0,0,0,0,0,0,0,0,0,0
"25025981600",0,0,0,0,0,0,0,0,0,0,0,0,0
"25025981700",0,0,0,0,0,0,0,0,0,0,0,0,0
