"geoid","gq_pop"
"25025010500",828
"25025010600",0
"25025010701",393
"25025010702",121
"25025010801",326
"25025010802",122
"25025020101",11
"25025020200",0
"25025020301",84
"25025020302",0
"25025030100",0
"25025030200",0
"25025030400",65
"25025030500",85
"25025040100",10
"25025040200",0
"25025040300",0
"25025040401",34
"25025040600",17
"25025040801",14
"25025050101",65
"25025050200",7
"25025050300",17
"25025050400",0
"25025050500",0
"25025050600",0
"25025050700",19
"25025050901",0
"25025051000",6
"25025051101",114
"25025051200",20
"25025070402",2
"25025070600",10
"25025070700",0
"25025071101",390
"25025071201",269
"25025981300",0
"25025981502",0
"25025981600",0
"25025981700",0
