"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"25025010500",45,931,130,157,219,0,1293,66,269,332
"25025010600",179,345,265,319,309,119,653,496,366,243
"25025010701",117,605,106,219,60,15,857,278,267,56
"25025010702",36,379,95,341,183,12,425,150,459,181
"25025010801",86,552,142,270,101,21,615,200,324,156
"25025010802",40,734,174,359,119,65,672,198,323,184
"25025020101",134,568,309,607,229,153,438,283,627,272
"25025020200",97,830,247,283,104,81,1033,344,154,85
"25025020301",173,760,270,78,186,70,389,204,152,236
"25025020302",61,271,150,89,23,34,296,128,53,43
"25025030100",41,343,152,46,80,2,801,166,99,19
"25025030200",17,366,82,53,37,0,730,97,113,38
"25025030400",188,762,193,270,214,0,1373,468,307,162
"25025030500",36,677,188,214,112,88,365,171,223,143
"25025040100",267,349,291,333,140,255,414,269,265,134
"25025040200",350,201,145,86,48,247,181,230,92,90
"25025040300",558,697,683,213,82,627,780,637,456,94
"25025040401",231,278,446,248,203,222,296,395,465,98
"25025040600",299,1036,390,222,65,266,882,484,293,127
"25025040801",314,391,374,298,231,312,380,538,677,357
"25025050101",629,578,492,390,82,557,721,500,703,239
"25025050200",741,852,1054,407,54,580,876,497,464,84
"25025050300",360,573,417,288,167,267,730,434,387,68
"25025050400",151,318,169,315,73,219,360,277,221,71
"25025050500",141,446,367,215,20,68,302,154,161,19
"25025050600",299,501,389,265,11,208,418,244,146,27
"25025050700",553,812,555,359,47,362,488,592,356,56
"25025050901",393,804,687,477,69,201,499,429,229,81
"25025051000",372,945,536,784,163,287,737,464,445,195
"25025051101",756,804,455,942,161,456,843,790,684,333
"25025051200",172,818,363,222,75,172,880,368,143,115
"25025070402",159,711,300,176,100,86,797,417,152,293
"25025070600",149,216,327,117,153,353,407,260,208,66
"25025070700",153,322,353,383,178,108,379,235,326,195
"25025071101",413,789,439,512,226,124,616,432,603,206
"25025071201",473,555,414,594,234,286,545,328,566,259
"25025981300",0,0,0,14,5,0,4,9,18,0
"25025981502",0,0,0,0,0,0,0,0,0,0
"25025981600",0,0,0,0,0,0,0,0,0,0
"25025981700",0,0,0,0,0,0,0,0,0,0
