"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"25017322100",629,436,571,522,265,653,403,484,580,313
"25017322200",467,502,489,543,315,267,340,459,714,437
"25017322300",615,488,593,673,419,328,616,663,696,816
"25017322400",430,439,493,623,240,486,380,552,812,326
"25017324101",523,364,835,600,310,741,417,624,749,514
"25017324102",620,422,468,692,241,395,400,390,699,276
"25017361100",568,324,323,793,445,621,238,389,896,701
"25017361200",858,446,784,763,434,698,374,693,752,542
"25017361300",838,382,610,1090,465,720,426,528,909,613
"25017362100",792,337,469,758,415,593,228,580,632,435
"25017363103",266,191,408,502,207,288,148,297,559,272
"25017363104",750,336,646,981,330,822,500,697,980,380
"25017363201",337,236,332,606,131,437,219,362,637,151
"25017363202",521,243,419,531,184,386,239,474,600,214
"25017364101",495,424,653,1292,390,623,322,861,569,425
"25017364102",494,371,434,787,220,194,595,547,634,382
"25017365100",1263,562,796,1204,323,1046,525,853,1070,452
"25017365201",817,476,426,879,303,1021,574,568,887,362
"25017365202",565,248,360,721,272,787,206,550,710,444
"25017388100",504,501,527,844,284,596,678,538,755,269
"25017980000",0,0,0,0,0,0,0,0,0,0
"25027715100",728,401,550,911,239,709,481,606,796,316
