"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"25017322100",21,102,162,0,179,247,0,7,623,0,0,268,4
"25017322200",48,397,137,18,327,356,0,12,636,0,0,79,19
"25017322300",136,473,273,20,518,522,8,56,583,0,0,123,47
"25017322400",48,283,69,8,386,409,0,0,673,0,0,155,0
"25017324101",62,233,247,0,272,414,0,0,723,13,0,200,130
"25017324102",66,168,139,0,86,335,0,32,600,0,0,214,22
"25017361100",63,412,238,0,319,297,0,113,622,0,0,111,228
"25017361200",42,389,254,13,367,490,0,26,535,0,0,107,646
"25017361300",28,296,460,0,157,461,11,41,629,0,14,95,330
"25017362100",15,173,267,0,82,448,0,17,635,0,0,139,6
"25017363103",50,166,110,0,173,294,0,36,376,0,0,127,0
"25017363104",36,312,195,0,384,207,4,69,920,0,0,271,33
"25017363201",22,180,90,8,76,253,0,7,536,0,0,120,5
"25017363202",33,51,107,0,179,220,0,102,537,0,0,187,5
"25017364101",80,350,136,21,404,481,0,62,907,0,0,161,10
"25017364102",110,411,92,11,432,447,0,18,634,0,0,64,31
"25017365100",0,223,211,0,128,693,0,92,1001,0,0,175,4
"25017365201",16,155,203,0,93,454,0,79,835,0,0,170,73
"25017365202",100,227,127,11,210,285,0,0,663,13,0,115,109
"25017388100",0,238,125,82,433,351,0,16,826,0,0,208,0
"25017980000",0,0,0,0,0,0,0,0,0,0,0,0,0
"25027715100",8,66,158,10,173,536,0,10,883,0,0,132,9
