"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"25017322100",32,100,95,185,241,945,11,0,0,0,0,0,4
"25017322200",30,141,134,164,260,659,120,90,118,61,174,59,19
"25017322300",89,245,572,164,285,424,342,287,42,159,84,19,47
"25017322400",68,103,187,156,207,631,137,87,141,14,146,154,0
"25017324101",99,83,281,20,395,969,67,125,24,10,51,40,130
"25017324102",17,53,100,53,230,882,86,75,86,41,7,10,22
"25017361100",87,116,56,64,131,1159,32,100,86,9,152,183,228
"25017361200",14,57,108,0,125,1092,167,72,56,74,111,347,646
"25017361300",92,142,48,156,190,1354,33,43,0,40,16,78,330
"25017362100",30,74,8,61,162,1328,54,21,23,0,9,6,6
"25017363103",66,92,131,32,239,641,55,0,56,20,0,0,0
"25017363104",139,110,36,205,281,1190,82,45,119,52,93,46,33
"25017363201",14,0,44,40,104,881,69,74,18,10,11,27,5
"25017363202",15,41,68,70,214,856,3,11,8,37,49,44,5
"25017364101",129,167,195,171,430,946,195,149,33,9,69,109,10
"25017364102",42,78,158,178,326,796,145,120,96,14,111,155,31
"25017365100",84,147,14,91,160,1895,27,0,0,53,0,52,4
"25017365201",27,55,84,151,192,1402,0,56,13,13,0,12,73
"25017365202",10,59,35,57,130,1070,172,39,45,7,43,84,109
"25017388100",41,140,147,78,277,990,69,99,108,67,132,131,0
"25017980000",0,0,0,0,0,0,0,0,0,0,0,0,0
"25027715100",39,15,73,91,349,1305,32,30,0,21,8,13,9
