"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"25017322100",1747,573,742,503,1569
"25017322200",997,769,588,652,1501
"25017322300",1040,1378,1305,848,1000
"25017322400",1238,827,854,709,1338
"25017324101",1673,945,763,383,1915
"25017324102",1340,962,447,458,1539
"25017361100",1377,792,596,282,2253
"25017361200",1838,1081,342,436,2118
"25017361300",1789,1222,592,285,2314
"25017362100",1887,725,403,229,2137
"25017363103",572,666,241,401,1162
"25017363104",1719,1272,549,671,2223
"25017363201",1027,441,284,238,1511
"25017363202",1148,537,405,249,1567
"25017364101",1562,1177,853,705,2008
"25017364102",873,501,776,705,1705
"25017365100",2767,1154,491,463,3152
"25017365201",2113,859,645,625,2166
"25017365202",1587,987,281,259,1922
"25017388100",1276,939,699,571,1994
"25017980000",0,0,0,0,0
"25027715100",1997,724,391,456,2286
