"geoid","MC","NS","SM","NF","GQ"
"25017322100",1159,139,281,30,4
"25017322200",1046,309,519,136,19
"25017322300",1065,286,1058,303,47
"25017322400",1048,316,562,105,0
"25017324101",1309,290,525,40,130
"25017324102",1071,246,275,48,22
"25017361100",1292,139,728,16,228
"25017361200",1184,307,598,134,646
"25017361300",1585,142,360,105,330
"25017362100",1400,100,247,29,6
"25017363103",854,70,385,23,0
"25017363104",1538,145,672,43,33
"25017363201",958,45,228,61,5
"25017363202",931,251,184,50,5
"25017364101",1421,259,664,258,10
"25017364102",1077,242,829,71,31
"25017365100",2104,187,189,43,4
"25017365201",1515,227,187,76,73
"25017365202",1123,208,369,51,109
"25017388100",1267,220,556,236,0
"25017980000",0,0,0,0,0
"25027715100",1640,74,186,76,9
