"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"250173221001",719,25,306,406
"250173221002",555,21,287,256
"250173221003",659,23,120,195
"250173221004",643,27,300,314
"250173222001",1123,53,805,363
"250173222002",1260,26,612,291
"250173223001",736,0,548,203
"250173223002",619,51,667,147
"250173223003",810,19,287,178
"250173224001",909,100,357,257
"250173224002",1090,65,447,323
"250173224003",722,71,222,218
"250173241011",1194,0,784,410
"250173241012",618,0,266,247
"250173241013",1071,139,495,453
"250173241021",415,8,170,93
"250173241022",1827,61,632,632
"250173241023",245,65,322,133
"250173611001",496,10,368,299
"250173611002",698,0,441,355
"250173611003",332,17,314,48
"250173611004",436,51,444,143
"250173611005",469,16,192,169
"250173612001",788,0,450,440
"250173612002",506,33,170,311
"250173612003",0,0,569,0
"250173613001",436,51,801,299
"250173613002",482,27,394,296
"250173613003",568,30,300,237
"250173613004",549,0,747,282
"250173613005",464,0,533,85
"250173621001",1365,33,680,706
"250173621002",997,69,800,589
"250173631031",1101,52,663,239
"250173631032",594,75,256,158
"250173631041",1368,20,743,400
"250173631042",705,23,202,424
"250173631043",953,50,385,275
"250173631044",460,0,209,205
"250173632011",618,13,334,138
"250173632012",848,11,289,407
"250173632013",376,0,292,122
"250173632021",500,9,146,150
"250173632022",883,25,254,271
"250173632023",901,11,276,385
"250173641011",1292,114,301,634
"250173641012",764,0,361,59
"250173641013",1441,23,679,386
"250173641021",472,38,303,151
"250173641022",647,91,357,277
"250173641023",741,37,273,86
"250173641024",714,50,325,96
"250173651001",854,42,464,409
"250173651002",873,32,771,313
"250173651003",1324,42,825,845
"250173651004",569,30,460,241
"250173652011",1310,139,730,932
"250173652012",445,0,280,91
"250173652013",506,27,243,251
"250173652014",876,17,240,226
"250173652021",1064,35,716,584
"250173652022",678,27,326,251
"250173652023",573,6,322,281
"250173881001",1249,34,656,315
"250173881002",1613,122,355,520
"250173881003",430,22,119,61
"250179800001",0,0,0,0
"250277151001",1496,117,442,658
"250277151002",599,25,270,187
