"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"56013000100",101,186,369,0,234,146,0,80,443,0,0,25,239
"56013000200",26,206,207,0,206,401,0,28,333,0,0,42,5
"56013000400",15,210,287,20,30,153,0,35,126,0,0,38,36
"56013940100",51,176,167,10,153,225,1,15,152,0,0,60,44
"56013940201",21,102,288,11,187,449,0,17,451,0,14,111,28
"56013940202",22,139,268,3,136,361,0,10,373,4,2,138,5
"56013940400",42,255,350,42,358,403,0,53,663,0,0,76,169
"56013940500",76,112,164,14,302,165,7,22,192,0,20,50,12
"56017967800",21,148,217,0,289,274,0,44,245,0,0,31,68
"56017967900",49,130,210,0,123,72,0,0,282,0,0,5,24
"56035000101",18,171,381,3,148,378,0,10,282,0,0,21,4
"56037970500",13,199,247,3,81,282,0,0,333,0,0,21,0
"56037970601",10,216,233,5,226,397,21,10,583,0,0,40,84
"56037970602",0,86,116,8,161,211,17,0,343,0,0,113,0
"56037970700",0,237,291,55,187,305,0,8,408,0,0,82,63
"56037970800",0,506,369,47,223,463,0,17,632,0,0,0,21
"56037970902",0,187,125,11,379,711,0,42,421,0,0,115,79
"56037970903",3,91,84,43,124,273,0,6,311,6,0,57,211
"56037971000",71,89,70,10,107,117,0,8,147,0,25,42,0
"56037971100",33,150,241,24,119,327,0,24,229,0,0,81,58
"56037971200",0,160,159,70,128,361,0,7,259,0,0,10,0
"56037971600",0,64,107,0,122,109,0,45,243,0,0,12,1
