"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"56013000100",171,121,207,74,254,148,97,200,117,83,112,0,239
"56013000200",87,139,219,158,338,147,90,124,18,39,66,24,5
"56013000400",52,121,130,129,119,124,56,90,65,28,0,0,36
"56013940100",204,84,121,95,168,70,91,48,31,46,42,10,44
"56013940201",115,252,296,169,301,246,46,120,64,34,8,0,28
"56013940202",142,266,181,239,175,187,37,86,70,42,18,13,5
"56013940400",64,253,369,254,226,336,181,256,169,82,48,4,169
"56013940500",38,133,61,94,117,46,128,260,133,81,25,8,12
"56017967800",100,230,137,193,164,102,170,78,0,32,32,31,68
"56017967900",80,154,126,92,106,71,126,23,63,2,22,6,24
"56035000101",91,313,150,86,242,261,80,34,39,47,51,18,4
"56037970500",153,101,167,126,186,134,62,43,158,0,3,46,0
"56037970601",86,212,84,294,244,338,137,110,153,70,0,13,84
"56037970602",26,87,212,55,309,275,27,33,16,0,15,0,0
"56037970700",82,44,217,205,251,328,229,69,0,63,23,62,63
"56037970800",90,616,409,95,148,129,378,238,56,98,0,0,21
"56037970902",110,124,120,297,275,351,210,184,132,36,57,95,79
"56037970903",52,88,71,48,168,113,104,158,56,86,46,8,211
"56037971000",78,99,98,37,75,54,112,36,33,31,7,26,0
"56037971100",149,137,176,169,229,155,39,34,18,77,45,0,58
"56037971200",139,154,297,92,288,80,0,52,34,18,0,0,0
"56037971600",55,61,103,109,142,37,35,30,79,8,4,39,1
