"geoid","MC","NS","SM","NF","GQ"
"56013000100",670,251,585,78,239
"56013000200",716,141,501,91,5
"56013000400",472,25,395,22,36
"56013940100",276,338,363,33,44
"56013940201",942,225,431,53,28
"56013940202",743,356,298,59,5
"56013940400",1064,337,738,103,169
"56013940500",367,238,477,42,12
"56017967800",616,203,388,62,68
"56017967900",550,50,254,17,24
"56035000101",849,102,372,89,4
"56037970500",653,134,366,26,0
"56037970601",907,215,574,45,84
"56037970602",664,136,255,0,0
"56037970700",829,80,535,129,63
"56037970800",636,285,1195,141,21
"56037970902",961,372,626,32,79
"56037970903",418,206,269,105,211
"56037971000",244,89,313,40,0
"56037971100",624,172,368,64,58
"56037971200",378,168,566,42,0
"56037971600",455,44,172,31,1
