"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"56013000100",909,1052,909,419,520
"56013000200",979,877,581,561,550
"56013000400",102,463,399,268,315
"56013940100",866,1284,564,312,244
"56013940201",1216,1049,1026,551,519
"56013940202",1613,1673,926,442,441
"56013940400",1674,1432,1321,703,720
"56013940500",739,806,644,256,231
"56017967800",726,739,416,357,377
"56017967900",449,636,498,220,183
"56035000101",866,898,715,306,703
"56037970500",1074,651,411,445,366
"56037970601",979,869,692,495,768
"56037970602",1074,545,259,490,655
"56037970700",532,986,591,318,872
"56037970800",969,1154,1220,502,317
"56037970902",1680,1032,850,538,925
"56037970903",715,577,673,215,331
"56037971000",247,537,224,223,262
"56037971100",1022,795,417,465,491
"56037971200",600,427,395,397,422
"56037971600",581,504,269,187,271
