"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"56013000100",394,386,544,458,203,550,365,322,418,217
"56013000200",360,309,299,414,187,538,269,368,436,249
"56013000400",85,52,174,386,168,32,94,98,378,138
"56013940100",434,444,252,434,120,391,293,266,358,229
"56013940201",692,391,355,633,264,391,411,421,578,249
"56013940202",755,530,403,624,255,697,376,475,527,256
"56013940400",669,600,371,504,485,776,658,498,567,562
"56013940500",318,326,193,383,92,382,243,281,278,131
"56017967800",265,293,163,328,243,325,232,264,303,215
"56017967900",242,118,269,240,186,210,77,191,251,205
"56035000101",501,169,447,430,385,314,180,259,480,249
"56037970500",492,278,348,220,155,375,372,279,311,115
"56037970601",430,314,407,652,133,456,530,423,411,163
"56037970602",539,247,333,238,150,515,390,335,163,153
"56037970700",177,341,306,671,170,396,169,364,544,247
"56037970800",366,492,562,387,302,491,595,480,493,143
"56037970902",764,436,634,406,203,617,425,595,670,185
"56037970903",388,505,237,284,52,356,328,247,203,96
"56037971000",139,341,95,143,84,180,182,159,176,65
"56037971100",389,233,284,481,205,436,279,164,408,243
"56037971200",267,219,319,204,133,320,185,220,280,174
"56037971600",255,87,227,271,70,181,134,167,198,154
