"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"560130001001",1060,108,676,326
"560130001002",625,42,619,401
"560130002001",801,0,357,446
"560130002002",829,142,457,397
"560130004001",294,0,287,17
"560139401001",312,46,347,108
"560139401002",284,70,313,265
"560139401003",496,199,443,338
"560139402011",449,16,327,233
"560139402012",825,86,549,240
"560139402013",898,4,267,491
"560139402021",406,76,414,336
"560139402022",592,27,422,289
"560139402023",442,77,309,278
"560139402024",504,40,301,385
"560139404001",719,34,351,425
"560139404002",474,36,290,76
"560139404003",508,0,102,190
"560139404004",633,2,474,339
"560139404005",431,6,285,315
"560139405001",430,32,243,361
"560139405002",362,65,225,220
"560139405003",455,4,202,28
"560179678001",631,0,567,83
"560179678002",529,13,331,477
"560179679001",479,36,289,182
"560179679002",371,12,460,160
"560350001011",688,15,375,191
"560350001012",532,7,471,286
"560379705001",332,56,278,71
"560379705002",796,108,513,791
"560379706011",345,33,303,97
"560379706012",517,25,234,153
"560379706013",448,0,249,238
"560379706014",697,0,301,279
"560379706021",466,117,193,229
"560379706022",421,41,262,249
"560379706023",540,0,176,369
"560379707001",630,0,568,145
"560379707002",459,0,134,121
"560379707003",563,29,532,204
"560379708001",542,113,103,0
"560379708002",719,131,707,454
"560379708003",380,0,203,23
"560379708004",408,27,245,256
"560379709021",691,38,306,344
"560379709022",792,18,331,421
"560379709023",896,46,565,487
"560379709031",472,0,243,235
"560379709032",903,35,382,426
"560379710001",459,70,291,143
"560379710002",363,35,158,45
"560379711001",436,102,333,437
"560379711002",235,0,230,185
"560379711003",601,45,364,154
"560379712001",667,25,318,73
"560379712002",512,7,248,471
"560379716001",583,28,253,338
"560379716002",260,7,181,94
