"geoid","0","1","2","3+","GQ"
"56013000100",656,380,523,25,239
"56013000200",439,607,361,42,5
"56013000400",512,203,161,38,36
"56013940100",394,388,168,60,44
"56013940201",411,647,468,125,28
"56013940202",429,500,383,144,5
"56013940400",647,803,716,76,169
"56013940500",352,481,221,70,12
"56017967800",386,563,289,31,68
"56017967900",389,195,282,5,24
"56035000101",570,529,292,21,4
"56037970500",459,366,333,21,0
"56037970601",459,628,614,40,84
"56037970602",202,380,360,113,0
"56037970700",528,547,416,82,63
"56037970800",875,733,649,0,21
"56037970902",312,1101,463,115,79
"56037970903",178,440,317,63,211
"56037971000",230,234,155,67,0
"56037971100",424,470,253,81,58
"56037971200",319,559,266,10,0
"56037971600",171,231,288,12,1
