"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"060372111211",22,0,0,0,0,0,89,124,49,59,35,0,68
"060372111212",0,41,5,5,0,0,142,297,91,57,0,8,68
"060372111221",0,9,38,0,0,0,122,40,0,0,21,0,65
"060372111222",0,0,0,0,27,0,560,283,66,28,0,0,65
"060372112011",13,20,0,0,0,0,218,103,39,5,0,0,46
"060372112012",14,13,7,0,20,0,238,108,126,129,50,6,47
"060372112021",0,11,0,21,0,0,411,315,96,179,0,28,0
"060372113101",10,9,9,29,0,0,275,156,99,63,9,0,8
"060372113102",19,0,25,0,0,0,299,208,233,102,56,0,8
"060372113201",0,0,0,7,0,0,222,116,19,73,9,0,8
"060372113202",11,0,24,0,0,0,211,139,193,113,21,43,7
"060372114101",0,32,6,0,0,0,246,267,262,60,51,22,32
"060372114102",0,0,9,0,23,0,90,79,10,0,8,0,33
"060372114201",35,18,0,0,28,14,352,143,199,30,55,46,11
"060372114202",30,0,49,0,0,7,79,42,50,12,58,25,10
"060372118021",30,0,0,0,0,0,377,334,264,15,38,0,19
"060372118022",0,0,0,0,0,0,350,239,159,90,50,0,19
"060372118031",34,41,0,14,0,0,319,190,42,127,14,0,2
"060372118032",39,0,0,0,0,0,355,370,129,124,11,6,2
"060372118041",0,4,0,0,0,0,90,43,94,0,19,33,32
"060372118042",0,0,0,0,0,0,369,287,250,89,40,0,31
"060372119101",7,0,0,0,0,0,292,181,99,37,60,0,25
"060372119102",0,0,0,0,0,0,266,126,105,94,0,0,26
"060372119103",0,34,7,0,0,0,385,140,90,32,11,21,26
"060372119211",6,0,0,0,0,0,338,313,165,98,16,0,0
"060372119221",0,0,0,13,0,0,192,254,116,114,11,0,0
"060372119222",0,0,0,0,0,0,277,195,143,8,42,72,0
"060372121011",38,48,0,21,0,0,160,127,15,38,20,33,0
"060372121012",51,30,0,0,0,0,639,359,20,52,20,0,0
"060372121021",0,0,16,5,0,0,336,105,0,5,0,0,0
"060372121022",12,0,0,0,0,0,193,198,92,129,83,60,0
"060372122021",11,28,0,0,65,0,164,262,111,175,0,54,12
"060372122022",0,0,0,0,0,13,221,74,62,102,9,30,11
"060372122031",11,0,0,0,0,0,286,309,16,39,13,8,106
"060372122032",0,0,0,0,0,0,563,105,38,39,38,10,106
"060372122041",22,0,18,0,0,0,709,312,45,0,0,0,2
"060372122042",0,0,0,0,16,0,44,205,146,83,83,47,1
"060372123031",0,0,0,0,0,0,161,91,119,23,103,31,6
"060372123041",0,10,0,0,0,0,364,249,99,11,76,2,0
"060372123051",9,0,0,0,0,0,404,263,116,96,46,103,56
"060372123061",12,12,0,26,0,0,134,210,34,30,19,6,12
"060372123062",0,0,0,0,0,0,163,186,130,95,4,28,12
"060372124101",0,0,0,0,0,0,126,267,16,64,8,0,0
"060372124102",78,8,10,0,0,0,125,110,154,40,25,0,0
"060372124201",0,0,6,0,0,0,217,293,140,12,67,35,24
"060372124202",0,22,0,0,0,0,235,125,21,15,12,9,23
"060372125011",29,40,0,0,0,0,471,233,37,116,51,0,0
"060372125021",0,72,16,0,0,0,470,356,114,0,17,77,0
"060372125022",8,0,0,0,0,0,444,179,49,16,6,27,0
"060372132011",0,0,0,0,0,0,69,182,196,36,0,35,0
"060372132012",22,59,22,0,0,0,185,175,60,71,24,0,0
"060372132013",0,10,0,0,0,0,255,173,66,89,0,18,0
"060372132021",11,51,0,9,6,8,81,84,23,43,43,48,48
"060372132022",51,80,43,0,15,0,98,283,98,154,17,0,49
"060372133101",0,11,0,0,0,0,176,79,88,0,70,25,19
"060372133102",17,0,5,54,0,0,128,102,48,61,70,8,19
"060372133201",11,0,0,0,0,0,145,90,45,14,23,61,46
"060372133202",53,11,0,11,0,0,148,168,82,27,33,0,47
"060372134011",15,59,8,0,0,0,143,185,155,134,9,0,13
"060372134012",0,0,0,0,0,0,66,162,99,135,49,0,13
"060372134021",0,3,58,0,0,10,197,116,263,33,81,14,38
"060372134022",0,0,0,0,0,0,278,78,25,0,0,12,38
"060372134023",0,0,0,0,0,0,227,188,69,29,87,8,37
